ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
F8WI30	cosine	24.0	0.0	21.0	200760.3176908753	8622.094079144594	6.0	45.0	221617.889911	185826.428123	35791.461788	1.19260695128	1.05853200837	0.1885787263005176	0.09834961988888624	2.7537893568888148
F8WI90	cosine	24.0	18.0	12.0	219532.1739261772	7837.604579128611	69.0	6.0	234709.534334	205407.009769	29302.524565	1.14265591324	1.05738588851	0.36724989617085174	0.005965166286952631	0.16702465603467367
F8WIA3	cosine	24.0	21.0	0.0	21338.40308419836	1485.5638183742428	6.0	42.0	24713.5755186	19356.9979626	5356.57755602	1.27672563516	1.13029861132	0.19597397046916537	0.08985625322931617	2.515975090420853
F8WIE1	cosine	24.0	12.0	3.0	254002.19527092658	16430.595484451627	60.0	0.0	289569.296486	218595.758196	70973.5382893	1.32467939394	1.08850461286	0.2699264121556429	0.03230693818080994	0.9045942690626783
F8WIE5	cosine	24.0	0.0	6.0	473503.9061128679	11135.2237870341	0.0	54.0	495753.718127	455401.333188	40352.3849393	1.08860840318	1.03681379616	0.16362418252028652	0.1313198924872857	3.6769569896439998
F8WIK0	cosine	24.0	6.0	21.0	80617.89619912706	5543.394133038149	15.0	42.0	95309.227467	69996.007013	25313.220454	1.36163806386	1.09045546226	0.330337282196268	0.011864341762666228	0.3322015693546544
F8WIT2	cosine	24.0	9.0	3.0	7162264.2321599955	396985.1558367035	63.0	3.0	8113073.20604	6707816.22333	1405256.9827	1.20949545067	1.08273985145	0.2826235879895858	0.026504638918733395	0.7421298897245351
F8WIV2	cosine	24.0	21.0	0.0	3951538.728061044	142291.6312028648	69.0	0.0	4188116.18519	3697045.51702	491070.668173	1.13282786644	1.05214961605	0.3142978771675294	0.015710968084713377	0.43990710637197455
F8WIY7	cosine	24.0	3.0	6.0	69760.0409203952	2386.2113663356868	51.0	39.0	73389.0389227	64816.3167719	8572.72215081	1.13226179113	1.04551529003	0.24125756564895978	0.04930266217726652	1.3804745409634624
F8WJ40	cosine	24.0	0.0	6.0	141604.12845949162	35738.88421556411	63.0	15.0	278148.65524	94799.2576407	183349.397599	2.9340805209	1.23846604409	0.22312388525493615	0.06331718635548518	1.772881217953585
F8WJ93	cosine	24.0	18.0	15.0	284731.8989611152	9149.069334493879	18.0	39.0	303831.486892	271574.294252	32257.1926397	1.11877851963	1.0471643	0.4468130599727681	0.001110797488048831	0.031102329665367266
F8WJD4	cosine	24.0	3.0	6.0	336970.7676452647	11911.147465282666	3.0	54.0	358859.672273	314766.189815	44093.4824585	1.14008328685	1.05686469354	0.21898763651213274	0.06691183000253088	1.8735312400708648
G1EE51	cosine	24.0	15.0	0.0	60831.716397353935	4609.791300604174	63.0	30.0	75175.9085694	53090.2069891	22085.7015804	1.41600330518	1.0693742331	0.14420726128863112	0.16176125330350544	4.529315092498152
G1UCX4	cosine	24.0	12.0	21.0	103526.27458471149	3506.22015077952	6.0	48.0	109336.515956	96357.7503132	12978.7656427	1.13469353114	1.05381062088	0.3837624075251605	0.00430398916286051	0.12051169656009428
G3UVU2	cosine	24.0	0.0	21.0	398128.8503181729	19873.418208483938	0.0	69.0	437368.461323	364989.745731	72378.7155928	1.19830342205	1.09621369713	0.2551359238183474	0.04034778682105685	1.129738030989592
G3UW40	cosine	24.0	15.0	0.0	222501.071333022	5408.248025684298	3.0	39.0	236110.77864	209241.630719	26869.1479214	1.12841205562	1.02937229784	0.2699264121556429	0.03230693818080994	0.9045942690626783
G3UW78	cosine	24.0	21.0	15.0	24622.402326088533	14468.690120120098	51.0	6.0	82751.0927212	14933.4327275	67817.6599937	5.54133093384	1.74945738281	0.1683092910639584	0.12460960164846763	3.4890688461570933
G3UWD4	cosine	24.0	6.0	12.0	67321.31626188375	7213.330147368704	6.0	69.0	82749.2170923	55775.6949457	26973.5221465	1.48360710114	1.1837739093	0.15678628702578262	0.1415545250123827	3.9635267003467156
G3UZ60	cosine	24.0	0.0	21.0	260427.61786238165	8979.785336913177	24.0	45.0	274995.437424	236465.520796	38529.9166277	1.16294095011	1.04969394854	0.4400170280345411	0.0012961112381875797	0.03629111466925223
G3UX26	cosine	24.0	21.0	0.0	30466.525489379535	2872.536628627223	27.0	0.0	38070.9176132	26006.9533285	12063.9642847	1.46387456971	1.07479046717	0.23295019131240413	0.055380662873957556	1.5506585604708116
G3UXC7	cosine	24.0	18.0	15.0	184655.7059315336	17624.040937947007	69.0	6.0	216903.176096	148538.407432	68364.7686645	1.46024977544	1.1450343981	0.2891143329235558	0.023892184636934675	0.6689811698341709
Q3TI27	cosine	24.0	15.0	18.0	362152.1953973176	17134.65695204781	63.0	48.0	401757.258439	335645.789422	66111.4690168	1.19696796772	1.08031863143	0.24405755376663804	0.047378451921575866	1.3265966538041243
G3UXW9	cosine	24.0	15.0	18.0	572394.8599002584	14719.76421212278	63.0	9.0	599709.813868	545242.832992	54466.9808761	1.09989490477	1.04474875251	0.2140197009953595	0.07143562183788349	2.0001974114607375
G3UXZ5	cosine	24.0	6.0	3.0	1851023.9841280093	88102.73544321828	39.0	3.0	2001405.63913	1639952.78913	361452.850002	1.22040442408	1.06606134717	0.4416869278804033	0.0012481261625825624	0.03494753255231175
G3UY52	cosine	24.0	21.0	0.0	18091.63658434201	1050.140684598222	21.0	48.0	20289.0313733	15713.6978024	4575.33357091	1.29116848424	1.08328750398	0.3069026329988816	0.017817847893956983	0.4988997410307955
G3UYD0	cosine	24.0	0.0	21.0	589076.4273132562	38151.66972061251	0.0	51.0	675543.652908	539542.686437	136000.966471	1.25206711144	1.13388706862	0.17378823796322213	0.11707097859576515	3.2779874006814245
G3UYU5	cosine	24.0	12.0	21.0	61012.7447942163	2226.6121103399933	12.0	27.0	65333.7926318	57038.0217931	8295.77083871	1.14544282179	1.05072927159	0.3614073158246657	0.006676747380572879	0.18694892665604063
G3UYV7	cosine	24.0	9.0	18.0	318449.6600609768	16070.464283903606	3.0	18.0	366175.126765	295139.40913	71035.7176346	1.24068530138	1.07339365084	0.330337282196268	0.011864341762666228	0.3322015693546544
G3UZ44	cosine	24.0	3.0	0.0	49344.6235761471	3458.1798127083707	45.0	21.0	56255.2852107	41073.7388778	15181.5463328	1.36961685855	1.10491183461	0.2857974239226139	0.02519881865604328	0.7055669223692118
G3UZ63	cosine	24.0	0.0	21.0	128081.4704141057	7159.577006207461	3.0	69.0	141044.492777	117035.171863	24009.3209137	1.20514620119	1.07489201006	0.2699264121556429	0.03230693818080994	0.9045942690626783
G3UZA0	cosine	24.0	3.0	6.0	45216.67472286534	5711.730489000487	0.0	39.0	58251.3833152	37246.4705183	21004.9127969	1.56394371076	1.19499981175	0.2709508044980625	0.03180287707901677	0.8904805582124696
G3UZY2	cosine	24.0	15.0	0.0	382803.7253669216	23312.63529807904	63.0	51.0	409737.842922	316855.041983	92882.800939	1.29313972837	1.09828340117	0.3290883655048249	0.012131343131205926	0.3396776076737659
Q8R387	cosine	24.0	3.0	6.0	125942.95574130041	6568.703930319005	27.0	6.0	138086.05364	110263.098884	27822.9547562	1.25233242162	1.08141125243	0.15960115881392725	0.1372777177333498	3.8437760965337944
G3X8Q0	cosine	24.0	3.0	12.0	22084.606778432335	3255.1806091230346	27.0	36.0	30816.6825214	16839.9928849	13976.6896365	1.82997004405	1.13866231527	0.29950738883023387	0.02016114215609676	0.5645119803707093
G3X9T8	cosine	24.0	21.0	6.0	868631.757998357	28065.04323167533	42.0	0.0	924712.884839	804944.728294	119768.156545	1.14879053472	1.04876292187	0.43426361816812764	0.0014746410900555347	0.04128995052155497
Q9CQG4	cosine	24.0	3.0	6.0	391083.2395720499	31233.900684986802	45.0	15.0	443304.422126	340191.20512	103113.217006	1.30310371184	1.12998851459	0.56788319298909	5.05916111029172e-05	0.0014165651108816817
G3X8R5	cosine	24.0	12.0	15.0	117525.27539332719	5854.0952454829385	60.0	63.0	129146.187458	105341.930929	23804.2565288	1.22597133277	1.06119537489	0.3116427225020147	0.016441424648025	0.4603598901447
G3X8S8	cosine	24.0	12.0	15.0	21012.321161247615	1775.1246459018996	60.0	39.0	26003.4207454	17489.1367897	8514.28395574	1.48683271554	1.11292761024	0.5294171550937841	0.00014481775466173316	0.004054897130528529
H3BIW0	cosine	24.0	3.0	18.0	264772.73663309315	10958.878568662463	6.0	42.0	281926.360625	240947.669105	40978.6915205	1.17007299416	1.05448752162	0.46220276054048437	0.0007774237502962231	0.021767865008294248
Q9D2D1	cosine	24.0	9.0	3.0	919305.563159281	35557.433018447395	63.0	0.0	964845.827058	824957.440965	139888.386094	1.16957042769	1.04542747543	0.3421232907242354	0.009585702427533002	0.26839966797092407
G3X8T9	cosine	24.0	12.0	3.0	13079.757996921684	1070.1565167818912	69.0	45.0	15466.4554965	11712.6411515	3753.81434499	1.32049255983	1.10594893628	0.2551359238183474	0.04034778682105685	1.129738030989592
G3X8U3	cosine	24.0	6.0	3.0	286989.6425673201	11191.641356183281	63.0	45.0	308580.120406	261592.932522	46987.1878837	1.17961948525	1.04888528417	0.3526072113330951	0.00789022129915346	0.22092619637629687
G3X8U7	cosine	24.0	21.0	0.0	49844.88842215147	2106.442167158155	15.0	27.0	55142.8437765	46246.7671896	8896.07658689	1.19236104765	1.0620898698	0.24034543548105186	0.04994280222373064	1.3983984622644579
G3X8U8	cosine	24.0	3.0	6.0	69109.017727779	3638.8583128016844	15.0	36.0	76609.9343184	62645.5018627	13964.4324557	1.22291197357	1.08058234244	0.330337282196268	0.011864341762666228	0.3322015693546544
G3X8X1	cosine	24.0	15.0	9.0	114198.67099675517	6399.077754146149	63.0	54.0	127661.428302	101543.334244	26118.0940579	1.25721131035	1.09735739714	0.2165143963689379	0.06913545510964812	1.9357927430701474
Q8BWV2	cosine	24.0	18.0	15.0	181835.56456925743	5835.236004984015	63.0	3.0	191881.329528	170511.63782	21369.6917074	1.1253268808	1.05049124022	0.1914913114169006	0.09493692298572759	2.6582338436003727
G3X8Y3	cosine	24.0	3.0	6.0	825874.3684595284	42734.54064991261	0.0	60.0	920119.397697	747431.906317	172687.49138	1.2310411021	1.08153424491	0.3897237598944735	0.0038145915220834077	0.10680856261833542
G3X920	cosine	24.0	0.0	18.0	99577.25314305827	2646.6235120507954	51.0	63.0	104421.132992	93287.0361774	11134.0968146	1.11935309847	1.03920246164	0.2878718795329364	0.024374796195956446	0.6824942934867805
G3X922	cosine	24.0	18.0	0.0	1361971.16517896	43975.42342123563	60.0	0.0	1455640.29592	1293391.74136	162248.554559	1.12544424815	1.04488842897	0.2731092190440679	0.030762062328506853	0.8613377451981918
G3X926	cosine	24.0	9.0	6.0	27745.756024312857	2551.0166236682703	63.0	39.0	34399.3102912	22086.2099175	12313.1003737	1.55750173614	1.05379744271	0.3017937379566796	0.019410252116110444	0.5434870592510924
G3X934	cosine	24.0	3.0	12.0	71564.21967939557	6038.619746513016	12.0	30.0	90837.0204147	62345.779478	28491.2409367	1.45698748456	1.06035978189	0.29211214466158614	0.02276070879876716	0.6372998463654805
G3X956	cosine	24.0	0.0	21.0	1084330.9102413452	49956.44703764982	0.0	54.0	1210998.41753	1014281.66546	196716.752072	1.19394686779	1.07194249566	0.18118348213186988	0.10741654185240362	3.0076631718673017
G3X957	cosine	24.0	15.0	9.0	19534.343151624314	2968.840703213517	51.0	6.0	27479.1053591	14289.8996093	13189.2057498	1.92297399634	1.2059044285	0.17171831436157145	0.11988014354567555	3.3566440192789155
G3X960	cosine	24.0	21.0	3.0	89712.07601917151	2966.815116157461	15.0	54.0	94489.7758783	84126.1133607	10363.6625176	1.12319198051	1.06358629656	0.48716779613266165	0.0004262546337290486	0.011935129744413362
G3X972	cosine	24.0	9.0	0.0	1023888.0431816663	41590.771943019594	9.0	66.0	1092325.84343	967016.799665	125309.043768	1.12958310943	1.08255678129	0.16639299379457437	0.12732468937632635	3.565091302537138
G3X982	cosine	24.0	21.0	0.0	109264.89338039297	5575.300267982953	57.0	3.0	118221.995	97229.962665	20992.0323351	1.21590085772	1.05290215756	0.24774067964969962	0.04493949144849353	1.258305760557819
G3X9B1	cosine	24.0	3.0	6.0	99303.72840961709	6674.063340916006	63.0	39.0	113797.790256	85963.4776519	27834.3126039	1.32379230534	1.09084926588	0.37487714046992215	0.0051377970621272195	0.14385831773956215
